model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
3 Series,2019,Semi-Auto,9522,Diesel,145,62.8,2.0,24450
X1,2016,Semi-Auto,18326,Diesel,125,57.6,2.0,19752
3 Series,2020,Manual,11,Diesel,145,58.9,2.0,22950
5 Series,2019,Semi-Auto,6,Diesel,145,65.7,2.0,28380
X3,2018,Semi-Auto,20087,Diesel,145,48.7,3.0,29990
1 Series,2019,Automatic,14759,Diesel,150,67.3,2.0,19000
X3,2017,Semi-Auto,27782,Diesel,150,54.3,2.0,24995
3 Series,2015,Manual,83000,Diesel,125,62.8,2.0,8490
X6,2019,Semi-Auto,3145,Petrol,145,26.4,3.0,68300
1 Series,2017,Semi-Auto,19869,Petrol,150,39.8,3.0,21498
X4,2016,Automatic,30241,Diesel,200,47.9,3.0,23700
M5,2012,Automatic,51000,Petrol,555,28.5,4.4,23995
1 Series,2015,Manual,40561,Diesel,20,68.9,2.0,10775
4 Series,2018,Automatic,9807,Diesel,145,65.7,2.0,21792
X3,2016,Semi-Auto,45646,Diesel,200,47.1,3.0,24390
1 Series,2015,Manual,40000,Diesel,20,72.4,1.5,8990
3 Series,2018,Automatic,21276,Diesel,145,56.5,3.0,22988
3 Series,2018,Automatic,27246,Diesel,145,64.2,2.0,19940
X4,2020,Semi-Auto,101,Diesel,145,37.2,3.0,49481
4 Series,2019,Semi-Auto,101,Diesel,145,58.9,2.0,28750
3 Series,2011,Automatic,97000,Diesel,150,53.3,2.0,8500
7 Series,2019,Semi-Auto,5000,Petrol,145,34.5,3.0,48898
X1,2019,Semi-Auto,8521,Diesel,145,60.1,2.0,27990
X5,2019,Automatic,11918,Diesel,145,37.7,3.0,44875
3 Series,2019,Manual,2323,Diesel,145,54.3,2.0,24450
4 Series,2019,Semi-Auto,17740,Diesel,145,65.7,2.0,21998
2 Series,2019,Semi-Auto,7338,Petrol,150,47.9,2.0,24690
2 Series,2019,Manual,9806,Petrol,145,40.4,1.5,18950
3 Series,2015,Manual,30441,Diesel,30,64.2,2.0,13990
3 Series,2017,Automatic,15537,Diesel,30,64.2,2.0,17488
4 Series,2018,Semi-Auto,10030,Diesel,145,65.7,2.0,21980
5 Series,2016,Semi-Auto,32998,Diesel,125,60.1,2.0,16460
X2,2019,Automatic,123,Petrol,145,38.7,2.0,26972
1 Series,2014,Manual,25000,Diesel,0,74.3,1.6,10395
1 Series,2016,Manual,33725,Diesel,0,83.1,1.5,11300
X5,2019,Semi-Auto,8000,Diesel,145,33.6,3.0,56990
X3,2018,Semi-Auto,18327,Diesel,145,48.7,3.0,33980
X2,2019,Semi-Auto,1418,Petrol,145,36.2,2.0,29000
3 Series,2014,Semi-Auto,54859,Diesel,160,52.3,3.0,15291
X1,2018,Semi-Auto,9261,Petrol,145,44.8,2.0,24161
1 Series,2019,Manual,8910,Diesel,145,78.5,1.5,15750
3 Series,2020,Automatic,10,Petrol,145,40.4,2.0,34900
X1,2016,Manual,26122,Diesel,20,68.9,2.0,17500
3 Series,2015,Semi-Auto,27721,Diesel,30,64.2,2.0,12245
3 Series,2019,Manual,4229,Diesel,145,64.2,2.0,24990
2 Series,2016,Manual,24073,Petrol,30,55.4,1.5,12300
4 Series,2020,Semi-Auto,100,Diesel,145,50.4,3.0,30750
2 Series,2016,Automatic,35159,Petrol,260,37.2,3.0,18999
1 Series,2018,Semi-Auto,9993,Petrol,145,37.2,1.5,17882
X5,2018,Automatic,25930,Petrol,145,29.1,4.4,37498
3 Series,2019,Semi-Auto,19494,Petrol,145,48.7,2.0,21220
7 Series,2020,Semi-Auto,10300,Diesel,145,41.5,3.0,55489
3 Series,2009,Manual,89000,Petrol,165,47.9,2.0,3490
X1,2019,Semi-Auto,3546,Diesel,145,60.1,2.0,28950
1 Series,2015,Automatic,48916,Petrol,235,37.7,3.0,15499
2 Series,2019,Automatic,7899,Petrol,145,47.9,2.0,22406
2 Series,2020,Semi-Auto,1501,Diesel,145,65.7,2.0,28000
4 Series,2016,Semi-Auto,17117,Diesel,160,52.3,3.0,19980
2 Series,2019,Semi-Auto,1105,Diesel,145,52.3,2.0,23872
3 Series,2019,Manual,612,Diesel,145,54.3,2.0,32995
2 Series,2015,Semi-Auto,12117,Petrol,260,35.8,3.0,19140
1 Series,2017,Semi-Auto,25249,Diesel,150,61.4,2.0,20990
1 Series,2013,Automatic,21061,Petrol,145,48.7,1.6,10599
3 Series,2017,Semi-Auto,47518,Diesel,160,51.4,3.0,21495
2 Series,2018,Manual,15621,Diesel,145,60.1,2.0,19600
3 Series,2011,Manual,70418,Petrol,160,44.8,2.0,6500
5 Series,2015,Semi-Auto,43013,Diesel,30,62.8,2.0,15499
4 Series,2018,Automatic,18792,Petrol,145,45.6,2.0,22995
4 Series,2018,Semi-Auto,1998,Diesel,145,60.1,2.0,22470
3 Series,2017,Automatic,33131,Petrol,125,54.3,1.5,13750
X3,2015,Automatic,35000,Diesel,145,54.3,2.0,20500
X4,2019,Automatic,5744,Diesel,145,42.8,2.0,34526
1 Series,2017,Manual,35321,Diesel,145,83.1,1.5,11030
X1,2016,Semi-Auto,38565,Diesel,145,55.4,2.0,17998
X2,2019,Semi-Auto,6321,Diesel,145,58.9,2.0,29960
1 Series,2013,Manual,85871,Petrol,145,49.6,1.6,7340
6 Series,2016,Automatic,17264,Petrol,325,32.1,4.4,26976
X1,2017,Semi-Auto,32300,Diesel,150,57.6,2.0,18995
3 Series,2019,Semi-Auto,1951,Diesel,145,52.3,2.0,28450
5 Series,2017,Semi-Auto,23000,Diesel,150,51.4,3.0,32995
i8,2016,Automatic,10087,Hybrid,0,134.5,1.5,48998
3 Series,2013,Manual,93000,Petrol,145,47.9,1.6,7490
4 Series,2019,Semi-Auto,9326,Diesel,145,65.7,2.0,25780
M4,2019,Semi-Auto,19,Petrol,145,34.0,3.0,43950
1 Series,2017,Manual,20485,Petrol,145,36.2,3.0,19548
2 Series,2018,Automatic,20000,Petrol,150,50.4,1.5,17000
3 Series,2019,Semi-Auto,9262,Diesel,145,52.3,2.0,27500
4 Series,2016,Semi-Auto,30158,Diesel,125,60.1,2.0,18584
3 Series,2017,Semi-Auto,34110,Diesel,145,62.8,2.0,16950
1 Series,2017,Manual,22920,Petrol,145,53.3,1.5,11900
Z4,2020,Semi-Auto,4646,Petrol,145,38.7,2.0,29990
6 Series,2005,Automatic,84000,Petrol,305,24.6,4.4,4995
M4,2017,Automatic,24905,Petrol,150,34.0,3.0,32000
X3,2019,Automatic,2500,Diesel,145,54.3,2.0,36950
3 Series,2019,Semi-Auto,9354,Petrol,145,45.6,2.0,25780
4 Series,2014,Semi-Auto,49460,Petrol,165,44.1,2.0,14941
5 Series,2017,Automatic,36164,Diesel,125,60.1,2.0,16700
4 Series,2015,Automatic,106220,Diesel,160,51.4,3.0,13000
X4,2019,Semi-Auto,3253,Petrol,145,26.9,3.0,44000
5 Series,2017,Automatic,13022,Diesel,145,60.1,3.0,22499
5 Series,2019,Semi-Auto,5000,Hybrid,135,156.9,2.0,36499
5 Series,2015,Semi-Auto,36200,Diesel,160,50.4,3.0,18495
2 Series,2018,Automatic,9566,Hybrid,135,113.0,1.5,21998
7 Series,2017,Semi-Auto,22879,Petrol,205,40.4,3.0,30998
1 Series,2019,Manual,101,Diesel,145,70.6,1.5,21950
1 Series,2016,Manual,25231,Petrol,300,35.3,3.0,16117
X3,2019,Semi-Auto,8088,Diesel,145,54.3,2.0,35980
4 Series,2020,Semi-Auto,10,Diesel,145,60.1,2.0,30995
5 Series,2015,Manual,68310,Diesel,30,65.7,2.0,10750
1 Series,2019,Manual,14847,Diesel,150,72.4,1.5,14698
5 Series,2019,Automatic,10770,Diesel,145,62.8,2.0,26550
X2,2019,Manual,4825,Diesel,145,49.6,2.0,27000
3 Series,2016,Manual,88378,Diesel,30,68.9,2.0,10650
X5,2019,Semi-Auto,2062,Diesel,150,37.7,3.0,46980
1 Series,2015,Manual,45000,Diesel,30,65.7,2.0,10490
3 Series,2019,Semi-Auto,8349,Petrol,145,43.5,2.0,28450
3 Series,2018,Semi-Auto,6502,Petrol,150,48.7,2.0,22395
3 Series,2016,Manual,68052,Diesel,20,68.9,2.0,11000
2 Series,2017,Semi-Auto,29000,Diesel,125,57.6,2.0,15950
6 Series,2014,Automatic,27782,Diesel,160,50.4,3.0,18999
2 Series,2016,Semi-Auto,37573,Diesel,145,55.4,2.0,16995
4 Series,2018,Manual,9788,Diesel,145,62.8,2.0,18797
X3,2004,Automatic,100000,Petrol,330,23.7,2.5,3495
3 Series,2011,Manual,88850,Petrol,160,44.8,2.0,4995
1 Series,2016,Manual,31615,Diesel,0,78.5,1.5,11001
X1,2013,Manual,45750,Diesel,160,51.4,2.0,9499
X1,2020,Semi-Auto,2000,Diesel,145,40.9,2.0,29991
3 Series,2019,Automatic,3185,Petrol,145,42.2,2.0,29500
4 Series,2016,Automatic,31919,Diesel,30,65.7,2.0,17199
5 Series,2017,Semi-Auto,46954,Diesel,145,60.1,3.0,23898
3 Series,2019,Semi-Auto,1700,Diesel,145,52.3,2.0,27440
3 Series,2017,Manual,41732,Petrol,145,48.7,2.0,12750
3 Series,2019,Semi-Auto,20671,Petrol,150,51.4,1.5,17480
5 Series,2016,Semi-Auto,47640,Diesel,160,51.4,3.0,16310
4 Series,2015,Semi-Auto,45000,Petrol,160,44.1,2.0,16990
3 Series,2014,Automatic,38055,Diesel,30,62.8,2.0,11400
3 Series,2020,Automatic,2121,Diesel,145,52.3,2.0,32400
5 Series,2015,Semi-Auto,38695,Diesel,145,53.3,3.0,17999
3 Series,2015,Manual,56111,Diesel,30,64.2,2.0,12237
3 Series,2016,Automatic,46003,Diesel,160,51.4,3.0,16895
X3,2015,Automatic,113000,Diesel,145,54.3,2.0,11793
3 Series,2019,Manual,3319,Diesel,145,54.3,2.0,27990
X5,2019,Automatic,12082,Diesel,145,37.7,3.0,44888
3 Series,2020,Semi-Auto,1125,Diesel,145,50.4,2.0,32990
2 Series,2017,Automatic,16888,Petrol,145,51.4,1.5,16499
1 Series,2016,Manual,16483,Petrol,125,53.3,1.5,12300
1 Series,2016,Semi-Auto,21037,Diesel,20,68.9,1.5,14398
8 Series,2020,Semi-Auto,11,Petrol,145,31.7,3.0,62995
1 Series,2016,Manual,46620,Diesel,0,83.1,1.5,9999
3 Series,2018,Semi-Auto,14344,Diesel,145,64.2,2.0,22162
1 Series,2016,Manual,21390,Diesel,20,72.4,1.5,11700
5 Series,2019,Semi-Auto,4669,Diesel,145,60.1,3.0,31880
X2,2019,Automatic,123,Petrol,145,38.7,2.0,26972
3 Series,2017,Automatic,31621,Diesel,145,53.3,3.0,17999
1 Series,2014,Semi-Auto,23000,Petrol,125,50.4,1.6,11995
5 Series,2016,Manual,54820,Diesel,125,60.1,2.0,12990
2 Series,2016,Semi-Auto,27749,Petrol,200,39.8,3.0,20701
3 Series,2017,Semi-Auto,38328,Petrol,150,51.4,2.0,14498
1 Series,2017,Semi-Auto,9063,Petrol,145,55.5,1.5,16722
X1,2017,Semi-Auto,18099,Diesel,145,57.6,2.0,21050
4 Series,2019,Semi-Auto,15856,Diesel,145,65.7,2.0,21998
M4,2015,Semi-Auto,20100,Petrol,300,34.0,3.0,29997
4 Series,2018,Automatic,12421,Diesel,145,65.7,2.0,20397
1 Series,2015,Manual,21563,Petrol,150,50.4,1.6,10490
3 Series,2017,Automatic,29681,Petrol,145,48.7,2.0,18495
X4,2019,Semi-Auto,7974,Diesel,150,42.8,2.0,31995
3 Series,2019,Automatic,10742,Diesel,145,48.7,2.0,34985
2 Series,2020,Semi-Auto,2880,Petrol,145,50.4,1.5,25603
3 Series,2019,Semi-Auto,9907,Diesel,145,52.3,2.0,26995
1 Series,2019,Semi-Auto,10572,Petrol,145,39.8,3.0,25995
X1,2017,Manual,23575,Diesel,20,68.9,2.0,15732
1 Series,2019,Manual,2672,Petrol,145,41.5,1.5,23980
5 Series,2015,Automatic,56889,Diesel,30,62.8,2.0,13400
3 Series,2020,Semi-Auto,5665,Petrol,145,40.4,2.0,33990
2 Series,2018,Semi-Auto,7762,Petrol,150,50.4,1.5,18998
X5,2018,Automatic,19750,Diesel,140,47.1,3.0,47994
4 Series,2016,Automatic,33074,Diesel,160,51.4,3.0,21985
X1,2016,Automatic,7390,Petrol,160,44.8,2.0,21000
1 Series,2018,Manual,8228,Diesel,145,68.9,2.0,14000
4 Series,2018,Semi-Auto,2422,Petrol,145,45.6,2.0,24662
1 Series,2016,Manual,49811,Diesel,0,83.1,1.5,9891
1 Series,2015,Automatic,75124,Diesel,20,70.6,2.0,9700
7 Series,2019,Semi-Auto,4279,Diesel,145,41.5,3.0,51990
2 Series,2014,Manual,42947,Petrol,205,42.8,2.0,13990
6 Series,2013,Automatic,57000,Diesel,165,49.6,3.0,16600
X1,2019,Semi-Auto,1501,Petrol,145,48.7,2.0,28995
1 Series,2016,Manual,51002,Diesel,0,83.1,1.5,8800
3 Series,2008,Automatic,76000,Petrol,235,39.2,3.0,5985
4 Series,2020,Semi-Auto,99,Diesel,145,47.9,3.0,36990
4 Series,2017,Semi-Auto,13191,Diesel,145,65.7,2.0,20604
2 Series,2016,Manual,46527,Diesel,125,60.1,2.0,14990
3 Series,2015,Automatic,42938,Diesel,200,49.6,3.0,16970
1 Series,2017,Manual,39806,Diesel,145,62.8,2.0,15850
2 Series,2016,Automatic,79983,Diesel,20,68.9,2.0,13940
1 Series,2016,Automatic,51215,Petrol,205,39.8,3.0,17595
4 Series,2017,Semi-Auto,20398,Diesel,145,50.4,3.0,24000
X5,2019,Semi-Auto,6927,Diesel,150,37.7,3.0,49991
3 Series,2016,Semi-Auto,39239,Hybrid,0,134.5,2.0,17498
X3,2019,Semi-Auto,642,Diesel,145,54.3,2.0,35564
3 Series,2017,Semi-Auto,15931,Petrol,125,51.4,2.0,15998
3 Series,2014,Manual,84392,Diesel,30,62.8,2.0,8800
4 Series,2018,Manual,12086,Petrol,145,46.3,2.0,18899
3 Series,2019,Semi-Auto,8886,Diesel,145,67.3,2.0,22495
1 Series,2016,Automatic,22461,Diesel,20,67.3,2.0,14300
3 Series,2019,Manual,4026,Diesel,145,64.2,2.0,23990
7 Series,2017,Automatic,22000,Petrol,150,22.1,6.6,52950
Z4,2019,Automatic,2200,Petrol,145,37.2,2.0,31600
5 Series,2015,Automatic,89986,Diesel,125,60.1,2.0,11930
5 Series,2019,Semi-Auto,1000,Petrol,145,50.4,2.0,29895
X5,2019,Semi-Auto,1486,Diesel,145,37.7,3.0,46440
1 Series,2019,Manual,8004,Petrol,150,53.3,1.5,15950
1 Series,2020,Manual,514,Petrol,145,44.1,1.5,21940
X1,2016,Manual,35481,Diesel,20,68.9,2.0,14950
X1,2016,Manual,10935,Diesel,125,58.9,2.0,18998
X1,2017,Semi-Auto,25013,Diesel,145,57.6,2.0,20990
Z4,2020,Semi-Auto,9,Petrol,145,38.7,2.0,31990
5 Series,2019,Semi-Auto,15808,Petrol,145,48.7,2.0,27995
3 Series,2011,Manual,84000,Diesel,125,60.1,2.0,7490
3 Series,2017,Manual,27779,Petrol,150,48.7,2.0,13750
1 Series,2019,Semi-Auto,6377,Petrol,150,39.8,3.0,24990
X3,2019,Semi-Auto,4953,Petrol,145,30.4,2.0,32950
4 Series,2018,Manual,17024,Petrol,145,46.3,2.0,18280
4 Series,2019,Automatic,6963,Diesel,145,65.7,2.0,24995
3 Series,2017,Manual,45462,Diesel,145,67.3,2.0,12750
3 Series,2010,Manual,96000,Diesel,30,62.8,2.0,3690
2 Series,2020,Manual,25,Petrol,145,52.3,1.5,24980
5 Series,2017,Automatic,64845,Diesel,150,68.9,2.0,16950
X1,2017,Semi-Auto,10,Petrol,160,44.8,2.0,30980
3 Series,2019,Automatic,18253,Diesel,145,62.8,2.0,19995
X1,2016,Manual,51101,Diesel,125,60.1,2.0,14200
1 Series,2014,Manual,63299,Diesel,20,68.9,2.0,8499
2 Series,2019,Semi-Auto,5000,Petrol,145,40.9,1.5,23999
3 Series,2017,Semi-Auto,68299,Diesel,150,62.8,2.0,15652
3 Series,2015,Manual,78053,Petrol,160,44.8,2.0,11990
3 Series,2019,Manual,18,Diesel,145,54.3,2.0,27480
2 Series,2018,Semi-Auto,12793,Petrol,150,39.8,3.0,24995
3 Series,2017,Manual,22763,Petrol,145,48.7,2.0,13600
1 Series,2019,Semi-Auto,3788,Diesel,145,51.4,2.0,26795
1 Series,2016,Automatic,28883,Diesel,20,67.3,2.0,15480
X1,2015,Semi-Auto,29135,Diesel,125,57.6,2.0,17291
1 Series,2016,Manual,17084,Diesel,0,78.5,1.5,11788
X3,2016,Semi-Auto,28737,Diesel,150,54.3,2.0,20991
1 Series,2017,Semi-Auto,19486,Petrol,145,39.8,3.0,21500
M4,2019,Semi-Auto,9244,Petrol,145,32.5,3.0,44980
X2,2019,Semi-Auto,2198,Petrol,145,36.2,2.0,27806
X3,2007,Automatic,100000,Diesel,555,32.8,3.0,4990
X1,2017,Automatic,54120,Diesel,30,65.7,2.0,14000
X5,2020,Semi-Auto,117,Diesel,145,36.7,3.0,56270
4 Series,2017,Automatic,23772,Petrol,145,45.6,2.0,18300
5 Series,2020,Semi-Auto,2712,Hybrid,145,55.4,2.0,40995
5 Series,2016,Automatic,55120,Diesel,30,62.8,2.0,15000
X5,2008,Automatic,86800,Diesel,325,34.9,3.0,7998
5 Series,2015,Automatic,56000,Diesel,160,50.4,3.0,15990
1 Series,2013,Semi-Auto,57000,Diesel,125,60.1,2.0,11741
3 Series,2016,Automatic,47266,Diesel,30,65.7,2.0,12700
1 Series,2014,Manual,94420,Diesel,30,65.7,2.0,8000
5 Series,2019,Automatic,6172,Diesel,145,62.8,2.0,30000
5 Series,2019,Semi-Auto,3709,Diesel,145,51.4,3.0,37999
3 Series,2019,Semi-Auto,2980,Diesel,150,57.7,2.0,25990
1 Series,2016,Manual,18372,Petrol,125,52.3,1.5,14250
3 Series,2020,Semi-Auto,12,Diesel,145,48.7,2.0,33475
2 Series,2017,Semi-Auto,18652,Diesel,145,65.7,2.0,15750
5 Series,2016,Manual,65747,Diesel,125,58.9,2.0,12290
3 Series,2015,Automatic,35973,Diesel,160,51.4,3.0,16995
1 Series,2012,Manual,98000,Diesel,125,58.9,2.0,5995
3 Series,2019,Semi-Auto,4609,Diesel,145,49.6,2.0,30480
5 Series,2016,Automatic,96620,Diesel,30,62.8,2.0,11795
2 Series,2019,Automatic,8225,Diesel,150,61.4,2.0,22950
2 Series,2016,Semi-Auto,29139,Petrol,205,39.8,3.0,19999
X1,2019,Semi-Auto,1805,Diesel,145,52.3,2.0,28480
X3,2006,Manual,88000,Diesel,300,39.2,2.0,4195
1 Series,2015,Automatic,69758,Diesel,125,60.1,2.0,12059
3 Series,2017,Semi-Auto,43267,Diesel,145,62.8,2.0,19650
1 Series,2013,Automatic,53000,Diesel,30,62.8,2.0,9270
2 Series,2017,Semi-Auto,12458,Diesel,30,64.2,2.0,16498
3 Series,2013,Manual,55125,Diesel,30,62.8,2.0,9295
X3,2019,Semi-Auto,3986,Petrol,145,30.4,2.0,35995
4 Series,2015,Automatic,105730,Diesel,125,58.9,2.0,12695
5 Series,2017,Semi-Auto,29283,Diesel,125,60.1,2.0,23990
X2,2020,Semi-Auto,835,Petrol,145,38.7,2.0,34360
X2,2018,Semi-Auto,13314,Diesel,145,58.9,2.0,28494
1 Series,2018,Manual,7948,Diesel,145,65.7,2.0,16695
X4,2019,Semi-Auto,7141,Diesel,145,42.8,2.0,33995
1 Series,2019,Semi-Auto,9888,Petrol,145,34.5,2.0,31000
3 Series,2016,Manual,88090,Diesel,20,72.4,2.0,9500
5 Series,2019,Semi-Auto,5453,Diesel,145,65.7,2.0,26350
1 Series,2011,Manual,59326,Petrol,165,46.3,2.0,4995
2 Series,2019,Manual,10,Petrol,145,52.3,1.5,22490
8 Series,2018,Semi-Auto,3891,Petrol,145,26.9,4.4,63980
3 Series,2017,Automatic,49954,Diesel,200,49.6,3.0,18995
3 Series,2015,Automatic,51126,Diesel,125,57.6,2.0,13350
1 Series,2013,Manual,56000,Diesel,30,62.8,2.0,9350
5 Series,2014,Semi-Auto,51565,Diesel,160,51.4,2.0,15495
M4,2018,Semi-Auto,8725,Petrol,145,33.6,3.0,53999
X2,2019,Manual,4242,Petrol,150,42.8,1.5,23950
1 Series,2019,Semi-Auto,6499,Petrol,145,34.5,2.0,30783
1 Series,2016,Manual,40855,Diesel,30,65.7,2.0,13499
3 Series,2019,Semi-Auto,4500,Diesel,145,49.6,2.0,33470
3 Series,2019,Semi-Auto,8646,Diesel,150,53.3,2.0,25940
X5,2015,Automatic,43344,Diesel,200,47.1,3.0,25995
X2,2019,Automatic,123,Diesel,145,48.7,2.0,29770
1 Series,2017,Semi-Auto,59066,Diesel,20,72.4,1.5,13489
3 Series,2018,Semi-Auto,25329,Petrol,145,51.4,1.5,16291
2 Series,2016,Automatic,49981,Diesel,20,72.4,1.5,11299
X1,2017,Semi-Auto,19340,Diesel,145,57.6,2.0,23032
4 Series,2019,Semi-Auto,2791,Petrol,145,45.6,2.0,23750
X1,2016,Manual,46424,Diesel,125,60.1,2.0,13991
1 Series,2017,Semi-Auto,17640,Diesel,145,65.7,2.0,17498
3 Series,2018,Automatic,20681,Diesel,145,64.2,2.0,19000
5 Series,2019,Automatic,3402,Diesel,145,60.1,3.0,33500
4 Series,2019,Automatic,8675,Diesel,145,60.1,2.0,25850
X5,2015,Automatic,116130,Diesel,200,47.9,3.0,17500
3 Series,2020,Semi-Auto,9,Diesel,145,50.4,2.0,29999
4 Series,2019,Automatic,9564,Diesel,145,65.7,2.0,23350
2 Series,2019,Manual,123,Diesel,145,64.2,2.0,22770
X6,2018,Semi-Auto,11500,Diesel,150,40.9,3.0,37900
4 Series,2017,Manual,19202,Diesel,145,60.1,2.0,19000
1 Series,2019,Semi-Auto,4694,Diesel,150,57.7,1.5,23295
3 Series,2019,Semi-Auto,4953,Hybrid,135,8.8,2.0,33995
1 Series,2020,Semi-Auto,953,Diesel,145,51.4,2.0,28790
X1,2019,Semi-Auto,6908,Petrol,145,40.9,1.5,25450
X2,2019,Semi-Auto,7946,Diesel,150,58.9,2.0,27950
7 Series,2019,Semi-Auto,6249,Diesel,145,42.2,3.0,46500
X2,2019,Semi-Auto,2188,Petrol,150,34.9,2.0,31800
2 Series,2014,Manual,46498,Diesel,20,68.9,2.0,9480
5 Series,2017,Semi-Auto,33492,Diesel,145,60.1,2.0,22990
1 Series,2015,Manual,27667,Diesel,30,65.7,2.0,10569
2 Series,2015,Manual,24600,Petrol,145,47.9,2.0,13000
5 Series,2019,Semi-Auto,3457,Petrol,145,50.4,2.0,26400
3 Series,2011,Automatic,44000,Diesel,145,53.3,2.0,9750
3 Series,2019,Semi-Auto,4250,Diesel,145,48.7,2.0,27998
2 Series,2016,Semi-Auto,27484,Diesel,125,60.1,2.0,17490
X5,2019,Semi-Auto,8318,Diesel,145,37.7,3.0,46875
3 Series,2005,Manual,55000,Diesel,160,50.4,2.0,4375
1 Series,2016,Manual,42309,Diesel,30,65.7,2.0,12400
1 Series,2019,Manual,10514,Petrol,145,53.3,1.5,15199
1 Series,2017,Semi-Auto,28120,Diesel,125,60.1,2.0,18642
3 Series,2014,Manual,138750,Diesel,30,65.7,2.0,5990
4 Series,2017,Automatic,14282,Petrol,145,48.7,2.0,20000
X1,2016,Semi-Auto,16755,Diesel,145,55.4,2.0,18761
X1,2017,Semi-Auto,28686,Diesel,125,57.6,2.0,18998
5 Series,2019,Semi-Auto,7000,Petrol,145,50.4,2.0,27490
3 Series,2015,Semi-Auto,39700,Diesel,160,50.4,3.0,20000
8 Series,2020,Semi-Auto,101,Diesel,145,40.4,3.0,61995
3 Series,2019,Semi-Auto,4893,Diesel,145,52.3,2.0,31990
X5,2019,Semi-Auto,4484,Diesel,150,33.6,3.0,51980
5 Series,2019,Automatic,15094,Diesel,145,65.7,2.0,29555
3 Series,2017,Semi-Auto,14404,Diesel,145,67.3,2.0,16995
4 Series,2018,Manual,17672,Petrol,145,46.3,2.0,18210
4 Series,2017,Semi-Auto,22100,Diesel,150,65.7,2.0,19961
2 Series,2016,Automatic,67000,Petrol,160,46.3,2.0,15995
1 Series,2017,Manual,30865,Diesel,145,72.4,1.5,11100
2 Series,2019,Automatic,7107,Diesel,145,49.6,2.0,22480
X7,2019,Semi-Auto,10,Diesel,145,31.4,3.0,76970
5 Series,2016,Manual,93240,Diesel,30,65.7,2.0,9000
X5,2019,Semi-Auto,11813,Diesel,145,37.7,3.0,47980
1 Series,2013,Semi-Auto,38748,Petrol,235,37.7,3.0,13990
5 Series,2020,Semi-Auto,103,Hybrid,150,44.8,2.0,33850
X1,2011,Manual,70760,Diesel,160,49.6,2.0,7295
X1,2014,Semi-Auto,49400,Diesel,165,51.4,2.0,12490
X5,2017,Automatic,30207,Diesel,200,47.1,3.0,29945
3 Series,2013,Automatic,56000,Diesel,30,62.8,2.0,9490
X3,2019,Semi-Auto,5527,Diesel,145,48.7,3.0,36990
X1,2018,Semi-Auto,22964,Diesel,145,60.1,2.0,21000
4 Series,2019,Semi-Auto,6451,Diesel,145,58.9,2.0,28000
4 Series,2014,Semi-Auto,25276,Diesel,145,56.5,2.0,16995
1 Series,2016,Manual,26231,Diesel,0,78.5,1.5,11399
3 Series,2019,Automatic,13978,Diesel,145,52.3,2.0,31995
1 Series,2017,Automatic,23786,Diesel,20,67.3,2.0,14925
3 Series,2019,Semi-Auto,11904,Diesel,145,60.1,2.0,24998
1 Series,2018,Semi-Auto,20033,Diesel,145,67.3,2.0,17280
4 Series,2017,Automatic,19293,Diesel,145,65.7,2.0,19600
X3,2015,Semi-Auto,51451,Diesel,200,47.1,3.0,19795
X3,2015,Semi-Auto,41567,Diesel,145,54.3,2.0,19500
1 Series,2016,Semi-Auto,31879,Diesel,0,78.5,1.5,12998
5 Series,2019,Semi-Auto,8027,Diesel,145,51.4,3.0,36750
X4,2019,Semi-Auto,10,Diesel,145,40.9,3.0,40990
5 Series,2016,Automatic,64117,Diesel,30,65.7,2.0,13500
3 Series,2017,Automatic,24624,Petrol,145,51.4,2.0,15995
X1,2018,Manual,27041,Diesel,150,68.9,2.0,16470
1 Series,2020,Semi-Auto,1500,Petrol,145,34.5,2.0,30440
4 Series,2017,Automatic,61355,Diesel,160,51.4,3.0,17000
X1,2014,Semi-Auto,51483,Diesel,165,52.3,2.0,10792
3 Series,2020,Semi-Auto,14,Diesel,145,50.4,2.0,28990
1 Series,2016,Manual,44498,Diesel,0,83.1,1.5,9400
X3,2015,Semi-Auto,71194,Diesel,150,54.3,2.0,16998
3 Series,2019,Automatic,6129,Diesel,145,50.4,2.0,28980
3 Series,2016,Manual,93760,Diesel,20,72.4,2.0,9195
3 Series,2017,Automatic,19351,Diesel,145,51.4,3.0,21299
2 Series,2019,Semi-Auto,3660,Diesel,145,61.4,2.0,22950
1 Series,2017,Manual,13681,Diesel,150,65.7,2.0,14500
4 Series,2019,Automatic,6500,Diesel,145,65.7,2.0,26444
X1,2016,Manual,57717,Diesel,125,58.9,2.0,14498
X3,2017,Semi-Auto,33158,Diesel,200,47.1,3.0,27947
1 Series,2013,Manual,29000,Diesel,120,58.9,2.0,7500
X3,2016,Semi-Auto,28211,Diesel,150,54.3,2.0,21990
2 Series,2019,Manual,123,Diesel,145,64.2,2.0,22292
4 Series,2019,Semi-Auto,9756,Diesel,150,65.7,2.0,27992
X1,2019,Manual,1000,Diesel,145,48.7,2.0,28780
3 Series,2019,Semi-Auto,5004,Diesel,145,49.6,2.0,33450
X7,2019,Semi-Auto,5665,Diesel,145,31.4,3.0,71000
1 Series,2014,Manual,32014,Diesel,30,65.7,2.0,12290
3 Series,2017,Manual,35238,Diesel,30,64.2,2.0,15790
